Feature,Peso_PSO
tenure,1.0
InternetService,1.0
Dependents,1.0
TotalCharges,0.9882223471239849
SeniorCitizen,0.8785678587549642
Partner,0.7807059593586452
Contract,0.764665447795171
OnlineSecurity,0.7528970375198174
customerID,0.6008612758999071
MultipleLines,0.5686954480713384
PaymentMethod,0.5655535644042202
MonthlyCharges,0.4331778487752996
StreamingTV,0.34095647049036115
TechSupport,0.2667346391238377
OnlineBackup,0.2376748308147274
PhoneService,0.17707752351959194
DeviceProtection,0.11235348280951928
gender,0.0
StreamingMovies,0.0
PaperlessBilling,0.0
